Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Андрощук,Володимир,Хомович,Чоловік,22.12.2001,Водій,селище Алчевськ,"вулиця Тираспольська, буд. 682, Білогірськ, 35304",+380 71 643-19-19,tmykhailychenko@example.com
Оберемко,Алла,Олександрівна,Жінка,18.04.1968,Науковець,хутір Христинівка,"провулок Студентський 5-й, буд. 9, Кальміуське, 95175",+380 94 844-52-41,mykhailo85@example.net
Бабійчук,Орест,Опанасович,Чоловік,30.10.2004,Бібліограф,місто Володимир-Волинський,"набережна Флотський 3-й, буд. 6 кв. 5, Хирів, 78728",+380 53 907-14-15,tykhyivioletta@example.org
Адаменко,Опанас,Несторович,Чоловік,23.08.1970,Мікробіолог,місто Хмельницький,"шосе Братів Поджіо, буд. 558 кв. 7, Шумськ, 61936",000 973-96-41,olespoltavets@example.org
Терещенко,Христина,Орхипівна,Жінка,17.10.1953,Живописець,селище Ніжин,"вулиця Прокатна, буд. 673, Прип'ять , 47876",181-81-75,prokhirhuzenko@example.org
Бараник,Лариса,Леонтіївна,Жінка,28.02.1973,Графік,хутір Золоте,"узвіз Іванова 1-й, буд. 735 кв. 24, Українськ, 15415",+380 86 490-61-40,aatamanchuk@example.net
Тесля,Пріска,Германівна,Жінка,16.12.1967,Мистецтвознавець,місто Чигирин,"сквер Історія Футболу, буд. 599, Рені, 50835",001 53 17,eduardbezborodko@example.org
Вакуленко,Петро,Едуардович,Чоловік,10.06.1983,Фермер,хутір Корсунь-Шевченківський,"набережна Хімічний 2-й, буд. 010, Кіцмань, 63071",974-06-22,sofiia24@example.net
Данькевич,Вадим,Арсенович,Чоловік,20.02.1987,Дантист,хутір Голубівка,"сквер Садиковська, буд. 7, Енергодар, 15552",093 909-61-64,volodymyraiermolenko@example.com
Кабалюк,Симон,Тарасович,Чоловік,01.10.1949,Краєзнавець,місто Борщів,"узвіз Новоберегова, буд. 6, Ізяслав, 46685",020 384 89 07,rozaliia59@example.com
Пелех,Степан,Йосипович,Чоловік,28.11.1988,Астроном,селище Ромни,"проспект Академіка Вавилова, буд. 8, Дебальцеве, 45501",+380 74 021-15-00,jsyrotenko@example.org
Луценко,Оксана,Михайлівна,Жінка,11.10.1938,Філолог,місто Гуляйполе,"сквер Новоукраїнський, буд. 829 кв. 2, Петрово-Красносілля, 48797",+380 06 899 04 23,ehavryshkevych@example.org
Вакарчук,Захар,Мирославович,Чоловік,18.03.2003,Маркетолог,село Старий Крим,"набережна Пржевальського, буд. 3, Лебедин, 15925",+380 50 025 25 21,filipenkovenedykt@example.com
Терещенко,Аврелій,Давидович,Чоловік,31.03.2005,Ґрунтознавець,місто Долинська,"набережна Джутовий, буд. 59, Переяслав, 19928",+380 75 846-15-50,borys62@example.com
Тимчук,Богуслава,Стефанівна,Жінка,14.03.1980,Скульптор,село Жовква,"вулиця Ланжеронівська, буд. 953 кв. 50, Погребище, 71016",+380 66 741-67-33,jzabila@example.org
Батюк,Маруся,Борисівна,Жінка,23.02.1957,Економіст,село Корсунь-Шевченківський,"узвіз Молокова, буд. 21 кв. 48, Овруч, 11783",137 53 35,hennadii94@example.com
Нестеренко,Августин,Захарович,Чоловік,08.05.1941,Архітектор,хутір Коломия,"вулиця Профспілкова, буд. 23 кв. 9, Здолбунів, 67236",962-41-90,korsunles@example.org
Тимченко,Соломон,Демидович,Чоловік,22.03.2001,Мікробіолог,селище Бучач,"узвіз Миколи Гефта, буд. 1, Суходільськ, 47815",061-46-76,jbabenko@example.com
Шаблій,Аліна,Іванівна,Жінка,20.03.1967,Складальник,селище Радивилів,"проспект Водопровідний 2-й, буд. 99, Жмеринка, 35149",+380 89 380-96-41,iarema05@example.org
Комар,Тереза,Вʼячеславівна,Жінка,19.05.1975,Пілот,місто Ясинувата,"шосе Сегедська, буд. 272, Теплодар, 76985",+380 (42) 263-34-06,okhrim21@example.net
Єрченко,Єлисей,Євгенійович,Чоловік,13.03.1954,Астроном,селище Вознесенськ,"площа Текстильників, буд. 1 кв. 9, Буча, 86710",+380 89 497 61 57,orest03@example.net
Дараган,Лілія,Вʼячеславівна,Жінка,11.03.1965,Секретар,село Антрацит ,"парк 9-та Суворовська, буд. 6 кв. 4, Пирятин, 12010",224-71-22,martyn89@example.net
Жадан,Василь,Хомович,Чоловік,20.04.1954,Етнограф,селище Новомосковськ,"проспект Серединський, буд. 86, Прип'ять , 33572",+380 (27) 384-53-77,eduard88@example.org
Гунько,Ольга,Олегівна,Жінка,22.01.1994,М'ясник,хутір Судова Вишня,"набережна 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 908, Приморськ (Україна), 28486",015 421 15 29,demianiukmilena@example.com
Оробець,Богуслава,Григоріївна,Жінка,30.04.1994,Дантист,хутір Олександрія,"площа Новікова 2-га, буд. 79 кв. 757, Вуглегірськ, 22411",+380 84 722-77-18,oleh30@example.com
Кармалюк,Юстина,Богуславівна,Жінка,30.03.1993,Мікробіолог,місто Полонне,"провулок Могилівська, буд. 0, Чернігів, 58651",055 976 26 18,romanenkozakhar@example.org
Рябовіл,Богуслав,Варфоломійович,Чоловік,09.04.1942,Ріелтор,село Погребище,"провулок Волна тупик, буд. 1 кв. 211, Судова Вишня, 50555",+380 58 699 58 63,ieva97@example.net
Шморгун,Марія,Трохимівна,Жінка,02.11.1960,Кіноактор,селище Зборів,"парк Індійська, буд. 59 кв. 5, Глухів, 90158",+380 (83) 629-76-70,zynovii20@example.org
Гук,Іван,Данилович,Чоловік,16.08.1971,Футболіст,село Кам'янка (Черкаська область),"узвіз Політкаторжан, буд. 583 кв. 28, Сарни, 51405",+380 88 504 51 84,hannaartiushenko@example.com
Вовк,Захар,Іванович,Чоловік,01.07.1975,Електрослюсар,селище Ржищів,"провулок Восьмого березня 5-й, буд. 21 кв. 977, Кам'янське, 34521",+380 (67) 171-96-24,bprokopovych@example.com
Лукаш,Антон,Зиновійович,Чоловік,18.02.1950,Намотувальник,селище Севастополь,"провулок Макова, буд. 3 кв. 36, Богуслав, 92571",+380 (29) 559-99-72,zhaivoronvasyl@example.net
Устенко,Микита,Несторович,Чоловік,22.02.1982,Клавішник,село Вовчанськ,"вулиця Штурманська, буд. 271, Жмеринка, 50473",022 266 45 98,danna03@example.com
Гаврилів,Віра,Йосипівна,Жінка,07.12.1942,Музичний редактор,хутір Гірник ,"набережна Дунаєва, буд. 68, Чистякове, 05782",+380 (27) 349-56-00,halyna16@example.net
Скоробогатько,Ірина,Марківна,Жінка,16.11.1977,Лікар,село Перечин,"парк Ясна, буд. 6, Городня, 40752",+380 51 897-34-88,herman64@example.net
Хмара,Єва,Вʼячеславівна,Жінка,31.08.1991,Кіноактор,хутір Заліщики,"узвіз Софії Перовської, буд. 062 кв. 0, Федорівка, 28913",102 78 39,varfolomiiiatsenko@example.com
Пʼятаченко,Трохим,Владиславович,Чоловік,20.01.1944,Програміст,місто Іллінці,"парк Богдана Хмельницького, буд. 18, Сорокине, 43576",+380 55 163-52-32,yshutko@example.org
Заєць,Ганна,Гаврилівна,Жінка,23.06.1944,Журналіст,селище Сватове,"провулок 1-ша Лінія Марії Демченко, буд. 89, Токмак, 17634",111 21 82,vadym84@example.com
Ґереґа,Ростислав,Вʼячеславович,Чоловік,12.02.1941,Маркетолог,місто Кам'янка-Бузька,"вулиця Академіка Гаркавого, буд. 7 кв. 80, Жовті Води, 03237",+380 07 322 18 99,ihorhuzii@example.net
Чекалюк,Людмила,Бориславівна,Жінка,14.06.1991,Гінеколог,село Олевськ,"шосе Новгородський, буд. 160, Звенигородка, 17066",189 72 43,iaremkoleonid@example.com
Стельмах,Пилип,Мартинович,Чоловік,07.01.1993,Електромонтажник,селище Малин,"провулок Східний 1-й, буд. 54, Токмак, 59898",+380 35 405-95-15,cdavymuka@example.org
Алексійчук,Аарон,Леонідович,Чоловік,25.11.1957,Візажист,селище Корець,"парк Ковалевського узвіз, буд. 487 кв. 24, Нова Каховка, 46236",+380 (24) 582-56-60,herman82@example.net
Андрійчук,Аніта,Спасівна,Жінка,06.05.2005,Музикознавець,село Броди,"провулок 15-та ст. Великого Фонтану пляж, буд. 567 кв. 231, Ватутіне, 62357",155 92 62,orest33@example.com
Демʼяненко,Галина,Болеславівна,Жінка,14.05.1962,Мірошник,хутір Верхньодніпровськ,"проспект Пантелеймонівська, буд. 46 кв. 5, Бровари, 25576",+380 (66) 682-42-89,petro06@example.com
Василашко,Климент,Миронович,Чоловік,25.09.2003,Мовознавець,село Славута,"проспект Пересипський 1-й, буд. 427, Інкерман, 83802",+380 60 512-24-83,shavryliuk@example.com
Фастенко,Роман,Антонович,Чоловік,12.03.1983,Скульптор,село Кіцмань,"сквер Балтський 3-й, буд. 36 кв. 02, Федорівка, 05359",+380 (82) 887-65-03,danylenkomyron@example.net
Рева,Антон,Тимофійович,Чоловік,04.01.1941,Детектив,хутір Дніпро ,"сквер Прохоровський, буд. 32, Новомиргород, 12061",+380 24 335-03-54,sturkalo@example.org
Давиденко,Болеслав,Зиновійович,Чоловік,04.10.1966,Перекладач,село Шаргород,"узвіз Виноградний тупик, буд. 344 кв. 091, Зміїв, 07820",569-32-91,ykhrystych@example.com
Баклан,Климент,Єлисейович,Чоловік,05.09.1971,Громадський діяч,хутір Зугрес,"вулиця Садова 2-га, буд. 28, Суходільськ, 61043",+380 96 762 30 07,iaroslava41@example.org
Бандурка,Тереза,Остапівна,Жінка,12.09.1974,Підприємець,місто Павлоград,"площа Водопровідний 2-й, буд. 1, Нова Одеса, 49897",021 516-74-86,baturynetsfedir@example.net
Артеменко,Вʼячеслав,Леонідович,Чоловік,23.12.1985,Провізор,місто Білозерське,"набережна Сегедська, буд. 877, Конотоп, 88749",014 859-54-89,vysochanamvrosii@example.net
Зінченко,Володимира,Дмитріївна,Жінка,18.11.1942,Дизайнер,хутір Новоселиця,"парк Дальницька, буд. 072 кв. 89, Шаргород, 36675",027 038-74-08,shchorsaaron@example.org
Безбородько,Владислав,Вадимович,Чоловік,18.02.1978,Астрофізик,хутір Берестечко,"провулок Чумацька, буд. 69, Олевськ, 75987",+380 82 578 30 44,sirkomyron@example.net
Іванченко,Гліб,Хомович,Чоловік,17.05.1970,Фотограф,село Волноваха,"узвіз Хімічний 3-й, буд. 20, Дніпро , 59508",414-56-59,herman69@example.org
Андрощук,Гордій,Вʼячеславович,Чоловік,22.02.1975,Інженер,місто Авдіївка,"проспект Гранатна, буд. 628, Городня, 49882",073 088 96 16,kkharchenko@example.com
Лесик,Алевтин,Юстимович,Чоловік,20.12.1992,Палеонтолог,село Костопіль,"узвіз Східний 2-й, буд. 44, Українськ, 58134",+380 70 008-17-10,prykhodkomaksym@example.org
Комар,Борислав,Захарович,Чоловік,26.03.2006,Няня,селище Комарно,"шосе 2-га Суворовська, буд. 38 кв. 56, Снігурівка, 91018",+380 (13) 465-52-78,okadeniuk@example.com
Бездітко,Пилип,Венедиктович,Чоловік,09.09.1974,Швачка,селище Рогатин,"провулок Ванцетті, буд. 449 кв. 3, Новомиргород, 67475",158 91 66,riaboviloles@example.net
Сацюк,Андрій,Яковович,Чоловік,29.11.1964,Фармацевт,село Лутугине,"провулок Глазунова, буд. 630, Носівка, 18117",+380 49 921-74-68,andriihohol-ianovska@example.com
Худобʼяк,Дан,Макарович,Чоловік,26.10.1982,Фотограф,село Южне,"набережна Гагарінське плато, буд. 1 кв. 36, Привілля, 14852",+380 78 036 44 89,myroslavdashkevych@example.net
Мамчур,Богданна,Семенівна,Жінка,25.11.1977,Ді-джей,хутір Мирноград,"узвіз Осипова, буд. 69 кв. 5, Зміїв, 29716",879 97 64,emiliiaartymyshyn@example.net
Жаліло,Пилип,Артемович,Чоловік,13.05.1947,Літературознавець,місто Бар,"сквер Херсонський сквер, буд. 994, Гайворон, 04960",+380 26 036-02-00,bohuslavholoborodko@example.org
Величко,Олександр,Володимирович,Чоловік,21.08.2000,Живописець,селище Інкерман,"парк Лінійна, буд. 76 кв. 937, Дубровиця, 08601",+380 34 837-00-71,badamenko@example.org
Лагода,Лукʼян,Олегович,Чоловік,01.06.1946,Фольклорист,село Чигирин,"набережна Моторна, буд. 40, Буринь, 75953",065 511-21-40,liudmylasuprunenko@example.com
Мірошниченко,Мартин,Микитович,Чоловік,23.01.1963,Хімік,місто Моспине,"площа Наявний 3-й, буд. 903, Олександрія, 40514",+380 68 621 46 93,davydovcharenko@example.net
Байрак,Августин,Пилипович,Чоловік,07.10.1978,Єгер,село Кам'янка-Бузька,"шосе Вірського, буд. 60, Сєвєродонецьк, 65056",095 355-94-16,valeriiiakymchuk@example.com
Бандура,Стефан,Мартинович,Чоловік,06.09.1964,Бібліограф,місто Львів,"парк Василя Кандинського 2-й, буд. 751 кв. 3, Любомль, 80918",251 81 10,bpalii@example.org
Засядько,Сергій,Варфоломійович,Чоловік,29.08.1987,Скульптор,село Дніпро ,"вулиця Восьмого березня 5-й, буд. 147, Долина , 68142",630-96-89,nrubets@example.net
Козаченко,Веніямин,Іванович,Чоловік,03.12.1957,Бізнесмен,село Лебедин,"провулок Місячна, буд. 419, Ромни, 69483",+380 24 145-90-03,larysakhomenko@example.org
Христенко,Камілла,Андріївна,Жінка,16.05.1991,Державний службовець,хутір Ананьїв,"вулиця Дунаєвського 2-й, буд. 86 кв. 1, Тальне, 05864",007 932-03-90,okhrymovychparmen@example.com
Єресько,Левко,Петрович,Чоловік,29.09.1990,Журналіст,селище Дніпрорудне,"парк Князівська, буд. 473 кв. 0, Берестечко, 99994",+380 16 924-09-21,pperepelytsia@example.org
Шведченко,Богдан,Остапович,Чоловік,05.12.1985,Соціолог,місто Пологи ,"набережна Заводська, буд. 2 кв. 6, Новоград-Волинський, 03473",562-44-12,dmytro94@example.com
Ященко,Христина,Олександрівна,Жінка,17.03.1978,Прокурор,село Кальміуське,"площа 19-й км Старокиївської дороги, буд. 1, Миколаїв, 95597",+380 24 179-11-59,syrotenkohlib@example.org
Дашкевич,Валерій,Юхимович,Чоловік,05.06.1974,Кінорежисер,хутір Корсунь-Шевченківський,"вулиця Верхня, буд. 440, Залізне, 46851",+380 92 633 97 38,aaron37@example.net
Деревʼянко,Ярема,Владиславович,Чоловік,19.10.1952,Скульптор,село Олешки,"шосе Дем’янова, буд. 2, Красилів, 20789",+380 45 391-30-02,oleh28@example.org
Бездітко,Хома,Пантелеймонович,Чоловік,14.09.1964,Футболіст,хутір Інкерман,"шосе Пейзажна, буд. 2 кв. 30, Звенигородка, 49216",770-19-93,cvernyhora@example.org
Зубко,Анжела,Яремівна,Жінка,15.06.1991,Економіст,місто Монастирище,"площа Володі Дубініна, буд. 8 кв. 942, Сєвєродонецьк, 77841",526-02-62,qkhudiak@example.com
Ярема,Амалія,Вʼячеславівна,Жінка,04.03.1981,Сценарист,місто Зборів,"вулиця Красний, буд. 95, Сколе, 12707",+380 80 973-98-28,zprykhodko@example.org
Власюк,Пріска,Симонівна,Жінка,17.09.1959,Круп'є,хутір Кременець,"вулиця М’ясоєдовська, буд. 243 кв. 0, Павлоград, 20205",746 16 52,dan89@example.org
Назаренко,Орест,Валерійович,Чоловік,13.10.1973,Няня,село Сколе,"вулиця Дев’ята, буд. 460 кв. 0, Радехів, 29845",+380 42 589-51-79,deisunoleksandr@example.org
Ємець,Гаврило,Олексович,Чоловік,28.09.1962,Доцент,селище Бережани,"узвіз Тимірязєва 3-й, буд. 04, Теплодар, 45577",+380 (14) 175-40-03,ihnatchornovil@example.org
Худобʼяк,Алла,Альбертівна,Жінка,25.02.1962,Фотограф,місто Болехів,"шосе Прорізний, буд. 265, Липовець, 24575",+380 (09) 738-99-96,hbairak@example.org
Лупій,Софія,Демидівна,Жінка,23.12.2006,Стропальник,село Миколаїв,"сквер Проїзний 1-й, буд. 3, Соледар, 57546",+380 75 961-34-30,ivan51@example.net
Зінкевич,Анжела,Вʼячеславівна,Жінка,02.08.1975,Астрофізик,село Вільнянськ,"вулиця Жоліо-Кюрі, буд. 5 кв. 866, Лозова , 88662",+380 05 362-58-29,rubetsroksolana@example.org
Рудько,Болеслав,Дмитрович,Чоловік,09.06.1976,Художник,місто Мерефа,"набережна Малиновський, буд. 64 кв. 84, Нетішин, 14994",108 41 85,zhuchenkookseniia@example.com
Височан,Аніта,Тимофіївна,Жінка,29.05.1998,М'ясник,місто Червоносів,"набережна Пассіонарії, буд. 0, Федорівка, 27055",+380 02 070-84-78,dmytrohrechanyk@example.org
